Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-48.24,1,27
-39.47,1,27
-17.17,1,26.01
-65.44,1,27
-66.5,1,27
-67.21,1,27
-67.61,1,26.99
-67.74,1,27
-67.84,1,27
-67.59,1,27.01
-67.21,1,27
-66.76,1,27
-66.24,1,26
-65.84,1,26.99
-65.15,1,27
-64.39,1,27
-63.54,1,27.02
-62.57,1,27
-61.47,1,27
-60.16,1,27
-58.56,1,26.99
-56.51,1,27
-53.69,1,27
-49.4,1,27
-41.78,1,27
-23.94,1,27
-65,1,27
-66.18,1,27
-67,1,27
-67.49,0,24.5
-68.95,0,20.55
-72.17,0,14.93
-76.03,0,8.15
-82.29,0,2
-86.24,0,2
-87.11,0,2
-87.18,0,2
-87.06,0,2
-86.98,0,2
-86.76,0,2
-86.59,0,1
-86.55,0,2
-86.29,0,2
-86.11,0,2
-85.94,0,2
-85.78,0,2
-85.63,0,2
-85.47,0,2
-85.31,0,2
-85.16,0,2
-85.01,0,2
-84.85,0,2
-84.78,0,2
-84.57,0,2
-84.41,0,2
-84.25,0,2
-84.11,0,2
-83.96,0,2
-83.9,0,2
-83.69,0,2
-83.53,0,2
-83.38,0,2
-83.24,0,2
-83.1,0,2
-82.96,0,2
-82.82,0,2
-82.68,0,2
-82.55,0,2
-82.41,0,2
-82.27,0,2
-82.14,0,2
-82.01,0,2
-81.87,0,2
-81.74,0,2
-81.61,0,2
-81.48,0,2
-81.35,0,2
-81.22,0,2
-81.1,0,2
-80.97,0,2
-80.84,0,2
-80.72,0,2
-80.6,0,2
-80.47,0,2
-80.35,0,2
-80.23,0,2
-80.11,0,2
-79.99,0,2
-79.87,0,2
-79.75,0,2
-79.63,0,2
-79.52,0,2
-79.4,0,2
-79.29,0,2
-79.17,0,2
-79.06,0,2
-78.95,0,2
-78.83,0,2
-78.72,0,2
-78.61,0,2
-78.5,0,2
-78.4,0,2
-78.29,0,2
-78.18,0,2
-78.07,0,2
-77.97,0,2
-77.86,0,2
-77.76,0,2
-77.66,0,2
-77.55,0,2
-77.45,0,2
-77.35,0,2
-77.25,0,2
-77.15,0,2
-77.05,0,2
-76.95,0,2
-76.85,0,2
-76.76,0,2
-76.66,0,2
-76.57,0,2
-76.47,0,2
-76.38,0,2
-76.28,1,53.34
-47.33,1,123.41
-65,1,142.57
-65,1,81.06
-21.03,1,35.68
-65,1,28.05
-64.34,1,27.13
-64.21,1,27.02
-63.99,1,27
-63.63,1,27
-63.13,1,27
-62.49,1,27
-61.69,1,27
-60.71,1,27
-59.49,1,27
-57.94,1,27
-55.89,1,27
-52.98,1,27
-48.45,1,27
-40.11,1,27
-19.36,1,27
-65,1,27
-66.35,1,27
-67.29,1,27
-67.87,1,27
-68.14,1,27
-68.18,1,27
-68.03,1,27
-67.76,1,27
-67.38,1,27
-66.93,1,27
-66.4,1,27
-65.81,1,27
-65.15,1,27
-64.41,1,26
-63.78,1,27
-62.84,1,27
-61.76,1,27
-60.5,1,26
-59.18,1,27
-57.29,1,27
-54.75,1,27
-51.05,1,27
-44.85,1,27
-31.87,1,27
11.15,1,27
-65.82,1,27
-66.74,1,27
-67.32,1,27
-67.6,1,27
-67.66,1,27
-67.53,1,27
-67.26,1,27
-66.89,1,27
-66.43,1,27
-65.89,1,27
-65.28,1,27
-64.58,1,27
-63.8,1,27
-62.92,1,27
-61.9,1,26
-61.11,1,27.01
-59.7,1,26
-58.17,1,27
-55.94,1,27
-52.83,1,26.99
-47.95,1,26.99
-38.83,1,27
-15.11,1,27
-65.42,1,27
-66.45,1,27.01
-67.13,1,27
-67.67,1,27
-67.75,1,27
-67.65,1,27
-67.4,1,26
-67.23,1,27
-66.74,1,27
-66.19,1,27
-65.57,1,27
-64.88,1,27
-64.11,1,27
-63.25,1,26
-62.46,1,27
-61.32,1,27.01
-59.97,1,27
-58.31,1,27
-56.15,1,26.98
-53.17,1,27
-48.55,1,27
-40.07,1,27
-18.98,1,27
-65,1,27.02
-66.18,1,27
-67.01,0,23.02
-69.85,0,19.1
-73.72,0,11.83
-78.46,0,2
-84.71,0,2
-87,0,2
-87.4,0,2
-87.43,0,2
-87.23,0,2
-87.06,0,2
-86.89,0,2
-86.72,0,2
-86.56,0,2
-86.4,0,2
-86.24,0,2
-86.28,0,2
-85.96,0,2
-85.77,0,2
-85.68,0,2
-85.46,0,2
-85.29,0,1
-85.26,0,2
-85.01,0,2
-84.84,0,2
-84.68,0,2
-84.53,0,2
-84.38,0,2
-84.23,0,2
-84.08,0,2
-83.94,0,2
-83.79,0,2
-83.65,0,2
-83.5,0,1
-83.49,0,2
-83.26,0,2
-83.09,0,2
-82.94,0,2
-82.8,0,2
-82.66,0,2
-82.52,0,2
-82.39,0,2
-82.25,0,2
-82.12,0,1
-82.12,0,2
-81.9,0,2
-81.74,0,2
-81.6,0,2
-81.46,0,2
-81.33,0,2
-81.2,0,2
-81.08,0,2
-80.95,0,2
-80.82,0,2
-80.7,0,2
-80.58,0,2
-80.45,0,2
-80.33,0,2
-80.21,0,2
-80.09,0,2
-79.97,0,2
-79.85,0,2
-79.73,0,2
-79.62,0,2
-79.5,0,2
-79.38,0,2
-79.27,0,2
-79.15,0,2
-79.04,0,2
-78.93,0,1
-78.96,0,2
-78.77,0,2
-78.62,0,2
-78.5,0,2
-78.38,0,2
-78.27,0,2
-78.16,0,2
-78.06,0,2
-77.95,0,2
-77.85,0,2
-77.86,0,2
-77.69,0,2
-77.56,0,2
-77.44,0,2
-77.34,0,2
-77.23,0,2
-77.13,0,2
-77.03,0,2
-77.05,0,2
-76.89,0,2
-76.76,0,2
